"Genus","Time","Location","Zone","Current_Country","Habitat","Cranial_Capacity","Height","Incisor_Size","Jaw_Shape","Torus_Supraorbital","Prognathism","Foramen_Mágnum_Position","Canine.Size","Canines_Shape","Tooth_Enamel","Tecno","Tecno_type","biped","Arms","Foots","Diet","Sexual_Dimorphism","Hip","Vertical_Front","Anatomy","Migrated","Skeleton"
"Homo Neanderthalensis
",0.2,"Europa","central","Germany","cold forest",1110.72,164.84,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Antecesor",1.19,"Europa","west","Spain","savannah",956.64,178.43,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Georgicus",2.21,"Asia ","west","Georgia","savannah",675.24,143.02,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Paranthropus Boisei",2.72,"Africa","oriental","Ethiopia","forest",644.57,118.83,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Afarensis",3.73,"Africa","oriental","Kenya","mixed",419.4,130.42,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"hominino Sahelanthropus tchadensis",6.75,"Africa","central","Republic of Chad","mixed",25.55,88.79,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"hominino Sahelanthropus tchadensis",6.89,"Africa","central","Republic of Chad","mixed",225.79,99.84,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"hominino Ardipithecus ramidus / kabadda",4.47,"Africa","oriental","Ethiopia","mixed",215.79,104.46,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Homo Sapiens",0.19,"Africa","oriental","Kenya","savannah",1111.92,175.53,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Georgicus",1.93,"Asia ","west","Georgia","savannah",859.55,153.85,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Heidelbergensis",0.94,"Europa","central","Germany","cold forest",1151.08,184.82,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Georgicus",2.38,"Asia ","west","Georgia","savannah",574.28,141.64,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Bahrelghazali",3.93,"Africa","central","Republic of Chad","mixed",163.15,115.97,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Australopithecus Afarensis",4.12,"Africa","oriental","Kenya","mixed",482.11,125.24,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"hominino Ardipithecus ramidus / kabadda",3.8,"Africa","oriental","Ethiopia","mixed",265,113.99,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Australopithecus Garhi",3.09,"Africa","oriental","Ethiopia","mixed",278.16,119.82,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Sapiens",0.47,"Africa","oriental","Kenya","savannah",1301.4,172.89,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Antecesor",1.33,"Europa","west","Spain","savannah",1124.57,166.04,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Rudolfensis",2.98,"Africa","oriental","Kenya","savannah",576.6,128.77,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Australopithecus Afarensis",4.11,"Africa","oriental","Kenya","mixed",305.05,122.88,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Georgicus",2.07,"Asia ","west","Georgia","savannah",609.38,159.58,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"hominino Orrorin tugenencin",6.16,"Africa","oriental","Kenya","forest",212.7,125.12,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Naledi",0.29,"Africa","south","South Africa","jungle",336.96,139.87,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Paranthropus Aethiopicus",2.36,"Africa","oriental","Kenya","forest-savanna",552.86,118.94,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Bahrelghazali",3.61,"Africa","central","Republic of Chad","mixed",290.51,110.26,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Paranthropus Robustus",1.89,"Africa","south","South Africa","jungle",441.2,120.93,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Naledi",0.37,"Africa","south","South Africa","jungle",409.39,138.85,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Paranthropus Aethiopicus",2.6,"Africa","oriental","Kenya","forest-savanna",471.71,104.06,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Bahrelghazali",4.17,"Africa","central","Republic of Chad","mixed",326.22,113.16,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Australopithecus Afarensis",4.57,"Africa","oriental","Kenya","mixed",467.08,129,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Australopithecus Afarensis",3.81,"Africa","oriental","Kenya","mixed",388.77,136.95,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Rudolfensis",2.4,"Africa","oriental","Kenya","savannah",563.65,121.26,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Heidelbergensis",0.52,"Europa","central","Germany","cold forest",1363.98,176.85,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Naledi",0.67,"Africa","south","South Africa","jungle",462,138.04,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Afarensis",3.86,"Africa","oriental","Kenya","mixed",308.98,120.82,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Floresiensis",0.73,"Asia ","oriental","Indonesia","peninsular",305.62,93.55,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Anamensis",4.89,"Africa","oriental","Kenya","forest-gallery",437.63,112.03,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"hominino Orrorin tugenencin",6.69,"Africa","oriental","Kenya","forest",67.98,119.37,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"hominino Ardipithecus ramidus / kabadda",4,"Africa","oriental","Ethiopia","mixed",287.08,117.33,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Homo Heidelbergensis",0.58,"Europa","central","Germany","cold forest",1339.84,184.43,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Naledi",0.06,"Africa","south","South Africa","jungle",498.41,125.83,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"hominino Sahelanthropus tchadensis",7.45,"Africa","central","Republic of Chad","mixed",135.19,80.31,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Erectus",1.76,"Asia ","west","Indonesia","savannah",1011.29,157.47,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
